raw_symbol,name,sector,index,market,ticker
TOST,"Toast, Inc.",Financials,SP400,US,TOST
TREX,Trex,Industrials,SP400,US,TREX
TRU,TransUnion,Industrials,SP400,US,TRU
TTC,Toro,Industrials,SP400,US,TTC
TTEK,Tetra Tech,Industrials,SP400,US,TTEK
TTMI,TTM Technologies,Information Technology,SP400,US,TTMI
TWLO,Twilio,Information Technology,SP400,US,TWLO
TXNM,TXNM Energy,Utilities,SP400,US,TXNM
TXRH,Texas Roadhouse,Consumer Discretionary,SP400,US,TXRH
UBSI,United Bankshares,Financials,SP400,US,UBSI
UFPI,UFP Industries,Industrials,SP400,US,UFPI
UGI,UGI Corp,Utilities,SP400,US,UGI
ULS,UL Solutions,Industrials,SP400,US,ULS
UMBF,UMB Financial Corp.,Financials,SP400,US,UMBF
UNM,Unum,Financials,SP400,US,UNM
USFD,US Foods,Consumer Staples,SP400,US,USFD
UTHR,United Therapeutics,Health Care,SP400,US,UTHR
VAL,Valaris,Energy,SP400,US,VAL
VC,Visteon,Consumer Discretionary,SP400,US,VC
VFC,VF Corporation,Consumer Discretionary,SP400,US,VFC
VIAV,Viavi Solutions,Information Technology,SP400,US,VIAV
VICR,Vicor Corporation,Industrials,SP400,US,VICR
VLY,Valley Bank,Financials,SP400,US,VLY
VMI,Valmont Industries,Industrials,SP400,US,VMI
VNO,Vornado Realty Trust,Real Estate,SP400,US,VNO
VNOM,Viper Energy,Energy,SP400,US,VNOM
VNT,Vontier,Information Technology,SP400,US,VNT
VOYA,Voya Financial,Financials,SP400,US,VOYA
VVV,Valvoline,Consumer Discretionary,SP400,US,VVV
WAL,Western Alliance Bancorporation,Financials,SP400,US,WAL
WCC,WESCO International,Industrials,SP400,US,WCC
WEX,WEX Inc.,Financials,SP400,US,WEX
WFRD,Weatherford International,Energy,SP400,US,WFRD
WH,Wyndham Hotels & Resorts,Consumer Discretionary,SP400,US,WH
WHR,Whirlpool Corporation,Consumer Discretionary,SP400,US,WHR
WING,Wingstop,Consumer Discretionary,SP400,US,WING
WLK,Westlake Corporation,Materials,SP400,US,WLK
WMG,Warner Music Group,Communication Services,SP400,US,WMG
WMS,Advanced Drainage Systems,Industrials,SP400,US,WMS
WPC,W. P. Carey,Real Estate,SP400,US,WPC
WSO,Watsco,Industrials,SP400,US,WSO
WTFC,Wintrust Financial,Financials,SP400,US,WTFC
WTRG,Essential Utilities,Utilities,SP400,US,WTRG
WTS,Watts Water Technologies,Industrials,SP400,US,WTS
WWD,"Woodward, Inc.",Industrials,SP400,US,WWD
XPO,"XPO, Inc.",Industrials,SP400,US,XPO
XRAY,Dentsply Sirona,Health Care,SP400,US,XRAY
YETI,Yeti Holdings,Consumer Discretionary,SP400,US,YETI
ZION,Zions Bancorporation,Financials,SP400,US,ZION
