raw_symbol,name,sector,index,market,ticker
CMCX,CMC Markets,Financial Services,FTSE250,UK,CMCX.L
COA,Coats Group,Consumer Staples,FTSE250,UK,COA.L
CORD,Cordiant Digital Infrastructure,Investment Trusts,FTSE250,UK,CORD.L
COST,Costain Group,Engineering and Construction,FTSE250,UK,COST.L
CWK,Cranswick,Food Producers,FTSE250,UK,CWK.L
CURY,Currys,Retailers,FTSE250,UK,CURY.L
CVSG,CVS Group,Health Care,FTSE250,UK,CVSG.L
DLN,Derwent London,Real Estate Investment Trusts,FTSE250,UK,DLN.L
DSCV,discoverIE,Support Services,FTSE250,UK,DSCV.L
DOM,Domino's Pizza,Travel & Leisure,FTSE250,UK,DOM.L
DRX,Drax Group,Electricity,FTSE250,UK,DRX.L
DOCS,Dr. Martens,Retailers,FTSE250,UK,DOCS.L
DNLM,Dunelm Group,Retailers,FTSE250,UK,DNLM.L
EZJ,EasyJet,Travel and Leisure,FTSE250,UK,EZJ.L
EDIN,Edinburgh Investment Trust,Investment Trusts,FTSE250,UK,EDIN.L
EWI,Edinburgh Worldwide Investment Trust,Investment Trusts,FTSE250,UK,EWI.L
ELM,Elementis,Chemicals,FTSE250,UK,ELM.L
ENOG,Energean,Oil & Gas Producers,FTSE250,UK,ENOG.L
ESCT,European Smaller Companies Trust,Investment Trusts,FTSE250,UK,ESCT.L
EWG,Eurowag,Financial Services,FTSE250,UK,EWG.L
FCSS,Fidelity China Special Situations,Investment Trusts,FTSE250,UK,FCSS.L
FEML,Fidelity Emerging Markets,Investment Trusts,FTSE250,UK,FEML.L
FEV,Fidelity European Trust,Investment Trusts,FTSE250,UK,FEV.L
FSV,Fidelity Special Values,Investment Trusts,FTSE250,UK,FSV.L
FGT,Finsbury Growth & Income Trust,Equity Investments,FTSE250,UK,FGT.L
FGP,FirstGroup,Travel & Leisure,FTSE250,UK,FGP.L
FGEN,Foresight Environmental Infrastructure,Investment Trusts,FTSE250,UK,FGEN.L
FSG,Foresight Group,Investment Banking and Brokerage Services,FTSE250,UK,FSG.L
FRAS,Frasers Group,Retailers,FTSE250,UK,FRAS.L
