ticker,type,price,why
DRI,TARGET 1,330.3994,"measured move, sell part of the position (3.49R)"
DRI,TARGET 2,410.9109,second measured move (6.37R)
SSB,BUY STOP,113.4008,"breakout trigger, above the base pivot"
SSB,BUY LIMIT,112.2,"pullback entry, old resistance acting as support"
SSB,STOP LOSS,99.7927,"initial stop, below base support and the 30 week average"
SSB,BREAKEVEN,127.0089,move the stop to entry here
SSB,TARGET 1,137.9877,"measured move, sell part of the position (1.81R)"
SSB,TARGET 2,158.6179,second measured move (3.32R)
JLL,BUY STOP,399.7689,"breakout trigger, above the base pivot"
JLL,BUY LIMIT,393.84,"pullback entry, old resistance acting as support"
JLL,STOP LOSS,351.7966,"initial stop, below base support and the 30 week average"
JLL,BREAKEVEN,447.7412,move the stop to entry here
JLL,TARGET 1,548.4669,"measured move, sell part of the position (3.1R)"
JLL,TARGET 2,672.1685,second measured move (5.68R)
J,BUY STOP,154.0163,"breakout trigger, above the base pivot"
J,BUY LIMIT,151.8321,"pullback entry, old resistance acting as support"
J,STOP LOSS,135.5343,"initial stop, below base support and the 30 week average"
J,BREAKEVEN,172.4983,move the stop to entry here
J,TARGET 1,198.5741,"measured move, sell part of the position (2.41R)"
J,TARGET 2,235.9677,second measured move (4.43R)
REGN,BUY STOP,858.8829,"breakout trigger, above the base pivot"
REGN,BUY LIMIT,847.0,"pullback entry, old resistance acting as support"
REGN,STOP LOSS,755.8169,"initial stop, below base support and the 30 week average"
REGN,BREAKEVEN,961.9488,move the stop to entry here
REGN,TARGET 1,1152.4333,"measured move, sell part of the position (2.85R)"
REGN,TARGET 2,1396.78,second measured move (5.22R)
VZ,BUY STOP,50.6904,"breakout trigger, above the base pivot"
VZ,BUY LIMIT,50.0608,"pullback entry, old resistance acting as support"
VZ,STOP LOSS,44.6075,"initial stop, below base support and the 30 week average"
VZ,BREAKEVEN,56.7732,move the stop to entry here
VZ,TARGET 1,62.1595,"measured move, sell part of the position (1.89R)"
VZ,TARGET 2,71.8384,second measured move (3.48R)
HAE,BUY STOP,111.3554,"breakout trigger, above the base pivot"
HAE,BUY LIMIT,109.57,"pullback entry, old resistance acting as support"
HAE,STOP LOSS,97.9927,"initial stop, below base support and the 30 week average"
HAE,BREAKEVEN,124.718,move the stop to entry here
HAE,TARGET 1,175.312,"measured move, sell part of the position (4.79R)"
HAE,TARGET 2,227.9056,second measured move (8.72R)
HALO,BUY STOP,110.1317,"breakout trigger, above the base pivot"
HALO,BUY LIMIT,108.49,"pullback entry, old resistance acting as support"
HALO,STOP LOSS,96.9159,"initial stop, below base support and the 30 week average"
HALO,BREAKEVEN,123.3475,move the stop to entry here
HALO,TARGET 1,155.65,"measured move, sell part of the position (3.44R)"
HALO,TARGET 2,193.378,second measured move (6.3R)
IVZ,BUY STOP,33.2972,"breakout trigger, above the base pivot"
IVZ,BUY LIMIT,32.8,"pullback entry, old resistance acting as support"
IVZ,STOP LOSS,29.3016,"initial stop, below base support and the 30 week average"
IVZ,BREAKEVEN,37.2929,move the stop to entry here
IVZ,TARGET 1,44.9617,"measured move, sell part of the position (2.92R)"
IVZ,TARGET 2,54.6911,second measured move (5.35R)
EOG,BUY STOP,156.0163,"breakout trigger, above the base pivot"
EOG,BUY LIMIT,153.67,"pullback entry, old resistance acting as support"
EOG,STOP LOSS,137.2944,"initial stop, below base support and the 30 week average"
EOG,BREAKEVEN,174.7383,move the stop to entry here
EOG,TARGET 1,202.4784,"measured move, sell part of the position (2.48R)"
EOG,TARGET 2,241.5252,second measured move (4.57R)
RTX,BUY STOP,229.5744,"breakout trigger, above the base pivot"
RTX,BUY LIMIT,226.88,"pullback entry, old resistance acting as support"
RTX,STOP LOSS,202.0254,"initial stop, below base support and the 30 week average"
RTX,BREAKEVEN,257.1233,move the stop to entry here
RTX,TARGET 1,284.2515,"measured move, sell part of the position (1.98R)"
RTX,TARGET 2,330.1488,second measured move (3.65R)
QLYS,BUY STOP,205.7045,"breakout trigger, above the base pivot"
QLYS,BUY LIMIT,201.54,"pullback entry, old resistance acting as support"
QLYS,STOP LOSS,181.0199,"initial stop, below base support and the 30 week average"
QLYS,BREAKEVEN,230.389,move the stop to entry here
QLYS,TARGET 1,322.464,"measured move, sell part of the position (4.73R)"
QLYS,TARGET 2,419.2032,second measured move (8.65R)
GEF,BUY STOP,91.7686,"breakout trigger, above the base pivot"
GEF,BUY LIMIT,90.57,"pullback entry, old resistance acting as support"
GEF,STOP LOSS,80.7564,"initial stop, below base support and the 30 week average"
GEF,BREAKEVEN,102.7808,move the stop to entry here
GEF,TARGET 1,121.1208,"measured move, sell part of the position (2.67R)"
GEF,TARGET 2,145.5615,second measured move (4.88R)
SEIC,BUY STOP,110.8809,"breakout trigger, above the base pivot"
SEIC,BUY LIMIT,109.75,"pullback entry, old resistance acting as support"
SEIC,STOP LOSS,97.5752,"initial stop, below base support and the 30 week average"
SEIC,BREAKEVEN,124.1866,move the stop to entry here
SEIC,TARGET 1,144.8566,"measured move, sell part of the position (2.55R)"
SEIC,TARGET 2,172.9419,second measured move (4.66R)
EXPE,BUY STOP,340.8726,"breakout trigger, above the base pivot"
EXPE,BUY LIMIT,334.5178,"pullback entry, old resistance acting as support"
EXPE,STOP LOSS,299.9679,"initial stop, below base support and the 30 week average"
EXPE,BREAKEVEN,381.7773,move the stop to entry here
EXPE,TARGET 1,507.8675,"measured move, sell part of the position (4.08R)"
EXPE,TARGET 2,646.5474,second measured move (7.47R)
MSFT,BUY STOP,520.6593,"breakout trigger, above the base pivot"
MSFT,BUY LIMIT,512.7647,"pullback entry, old resistance acting as support"
MSFT,STOP LOSS,458.1802,"initial stop, below base support and the 30 week average"
MSFT,BREAKEVEN,583.1384,move the stop to entry here
MSFT,TARGET 1,676.9855,"measured move, sell part of the position (2.5R)"
MSFT,TARGET 2,808.3622,second measured move (4.6R)
ZBRA,BUY STOP,392.8104,"breakout trigger, above the base pivot"
ZBRA,BUY LIMIT,386.23,"pullback entry, old resistance acting as support"
ZBRA,STOP LOSS,345.6731,"initial stop, below base support and the 30 week average"
ZBRA,BREAKEVEN,439.9476,move the stop to entry here
ZBRA,TARGET 1,573.41,"measured move, sell part of the position (3.83R)"
ZBRA,TARGET 2,723.154,second measured move (7.01R)
