signal_id,first_seen,ticker,name,market,index,sector,kind,grade,status_at_signal,confirmed,stage,trend_score,stage2_readiness,stage4_readiness,mansfield_rs,sector_rs,rs_vs_sector,group_factor,regime,close_at_signal,trigger,stop,t1,t2,risk_pct,t1_r,signal_age_weeks,event_status,days_to_event,event_near_signal,liquidity_status,adv_gbp,last_seen,weeks_tracked,last_close,high_since,low_since,triggered,triggered_on,stopped,stopped_on,hit_t1,hit_t1_on,r_peak,r_now,outcome,exc_4w,exc_13w,exc_26w
PH@2026-08-03,2026-08-17,PH,Parker Hannifin,US,SP500,Industrials,stage2_breakout,D,live,False,Stage 2,23.4,32.8,23.7,2.4617,46.2778,-30.4998,0.88,Bull,1001.739990234375,1114.3341,980.614,1384.8699,1612.8138,12.0,2.02,2,event_driven,80.0,True,ok,436308620.5217314,2026-08-31,2.0,962.59,1062.2706,933.74,False,,False,,False,,,,watching,,,
PAYX@2026-07-27,2026-08-17,PAYX,Paychex,US,SP500,Industrials,stage2_breakout,D,late,False,Stage 2,66.6,48.1,0.5,7.0339,46.2778,-27.9695,0.88,Bull,124.4800033569336,127.6204,112.306,168.3045,202.2281,12.0,2.66,3,clear,43.0,False,ok,233817656.3783601,2026-08-31,2.0,121.71,127.98,118.48,True,2026-08-24,False,,False,,0.02,-0.39,open,,,
PYPL@2026-08-10,2026-08-17,PYPL,PayPal,US,SP500,Financials,stage2_breakout,D,late,False,Stage 2,47.6,50.3,5.2,2.4931,-0.5291,3.2283,1.0,Bull,61.54999923706055,63.2618,55.6704,86.4021,105.6757,12.0,3.05,1,clear,71.0,False,ok,509250343.1085211,2026-08-31,2.0,54.96,62.5754,51.92,False,,False,,False,,,,watching,,,
PFE@2026-08-17,2026-08-17,PFE,Pfizer,US,SP500,Health Care,stage2_breakout,D,live,False,Stage 2,51.2,39.8,12.1,2.8976,-6.1583,12.9302,0.88,Bull,28.06999969482422,28.1061,24.7334,32.3798,36.0462,12.0,1.27,0,clear,78.0,False,ok,708048710.0023628,2026-08-31,2.0,28.45,29.21,26.55,True,2026-08-17,False,,False,,0.33,0.1,open,,,
PRU@2026-07-27,2026-08-17,PRU,Prudential Financial,US,SP500,Financials,stage2_breakout,D,late,False,Stage 2,42.7,42.2,11.3,5.5232,-0.5291,6.1149,1.0,Bull,119.76734924316406,127.6023,112.29,162.9049,192.2189,12.0,2.31,3,clear,72.0,False,ok,141822128.88721734,2026-08-31,2.0,122.02,124.8882,116.61,False,,False,,False,,,,watching,,,
PEG@2026-08-17,2026-08-17,PEG,Public Service Enterprise Group,US,SP500,Utilities,stage4_breakdown,C,live,True,Stage 3 to 4,-63.0,14.6,52.2,-17.0832,1.0772,-17.9341,0.88,Bull,72.61000061035156,73.3544,82.1569,62.2178,52.6321,12.0,1.27,0,clear,77.0,False,ok,160242910.73903084,2026-08-31,2.0,73.7,76.62,72.53,True,2026-08-17,False,,False,,0.09,-0.04,open,,,
DGX@2026-07-20,2026-08-17,DGX,Quest Diagnostics,US,SP500,Health Care,stage2_breakout,C,late,True,Stage 2,76.7,27.7,5.4,15.116,-6.1583,26.0796,0.88,Bull,244.38999938964844,243.1404,213.9635,302.0352,351.5594,12.0,2.02,4,event_driven,64.0,True,ok,117832930.74165936,2026-08-31,2.0,237.14,247.19,233.0,True,2026-08-17,False,,False,,0.14,-0.21,open,,,
RJF@2026-07-27,2026-08-17,RJF,Raymond James Financial,US,SP500,Financials,stage2_breakout,D,failed,False,Stage 2,24.6,56.7,16.3,-0.0163,-0.5291,0.5887,1.0,Bull,175.1999969482422,184.8973,162.7096,227.1331,262.6555,12.0,1.9,3,event_driven,72.0,True,ok,147751334.0640965,2026-08-31,2.0,178.29,181.83,168.93,False,,False,,False,,,,watching,,,
RTX@2026-08-03,2026-08-17,RTX,RTX Corporation,US,SP500,Industrials,stage2_breakout,D,live,False,Stage 2,29.3,34.6,23.0,3.6901,46.2778,-29.66,0.88,Bull,209.9100036621093,229.6651,202.1053,284.2515,330.1488,12.0,1.98,2,clear,64.0,False,ok,721250369.3043674,2026-08-31,2.0,200.79,226.41,199.04,False,,False,,False,,,,watching,,,
REGN@2026-08-17,2026-08-17,REGN,Regeneron Pharmaceuticals,US,SP500,Health Care,stage2_breakout,D,late,False,Stage 2,61.6,17.2,15.7,8.9584,-6.1583,19.5893,0.88,Bull,834.0399780273438,826.6673,727.4672,1081.9473,1295.6264,12.0,2.57,0,clear,72.0,False,ok,404745301.3913768,2026-08-31,2.0,827.72,859.34,779.08,True,2026-08-17,False,,False,,0.33,0.01,open,,,
